assists_diff,CC_diff,visionScore_diff,towerKills_diff,dragonKills_diff,won?,goldSpent,totalDamageDealtToChampions,deaths,baronKills,totalMinionsKilled,damage_per_death,damageDealtToObjectives,kills,totalHeal,win
5.08,11.52,-1.36,0.2,0.52,False,961.119999999999,-488.64000000000124,-0.08000000000000007,-0.12,-18.36,-278.1421297609959,-2714.4761904761926,-2.1333333333333346,-4756.857142857144,-0.07619047619047631
-3.44,-9.4,8.28,1.56,0.56,False,-1624.8206896551728,-4282.0896551724145,-2.177339901477832,0.12118226600985221,5.417733990147788,-1998.3002919071673,-3050.1333333333337,2.033333333333334,-755.5333333333338,-0.09999999999999992
6.12,8.44,-2.28,-0.88,-0.32,True,554.8793309438479,2609.277180406214,0.37992831541218663,-0.15651135005973715,-15.341696535244921,-2079.406644334502,-2098.4952380952377,3.1142857142857157,-2053.1333333333328,0.10476190476190478
-3.32,4.28,2.0,0.2,0.4,False,-1727.7733333333335,-3681.375384615383,-1.3405128205128198,0.17025641025641025,21.454358974358975,-1912.0988053150554,-4843.9,4.366666666666667,-3471.2000000000003,0.04999999999999993
-2.44,-3.2,7.48,0.44,0.28,True,35.57931034482863,-3113.0896551724145,1.0055172413793105,0.20689655172413793,-2.936551724137928,-2547.4408391740535,-3294.8380952380944,2.9333333333333327,-507.05714285714294,0.07619047619047631
2.16,19.64,6.4,-1.04,0.12,True,-39.92000000000007,-3735.6399999999994,1.8000000000000007,-0.12000000000000002,-7.039999999999992,-1719.858924663301,1252.466666666668,8.649999999999999,3944.916666666667,0.16666666666666674
3.68,11.76,-6.96,0.28,-0.08,False,-621.045454545454,-2054.148181818182,-1.3881818181818186,0.0490909090909091,-26.930000000000007,-412.99739984882854,-2375.7142857142844,0.9523809523809526,1641.695238095238,-0.047619047619047616
2.12,5.08,9.2,-0.8,-0.36,False,250.0,-4253.078571428572,1.064285714285714,-0.23928571428571432,-0.5750000000000028,-530.0928554249986,-1239.0380952380947,0.29523809523809597,-409.00952380952276,-0.08571428571428574
-3.72,-0.76,-2.6,-0.4,0.2,False,-2535.304761904763,-5669.238095238095,0.723809523809523,-0.12380952380952379,2.2888888888888914,326.96257195046655,-1316.2999999999993,0.5333333333333332,769.9500000000016,-0.01666666666666672
4.04,6.56,-3.64,-1.04,-0.88,False,403.635280771412,1888.2325581395344,-0.10380034032898422,0.18434486670448103,-13.958026091888826,2009.8981735856746,-22.96666666666806,2.2666666666666657,144.2500000000009,0.0500000000000001
4.24,6.4,-0.44,-0.04,-0.08,True,479.74628879892043,236.14979757085166,-1.2294197031039147,0.0,-3.851551956815115,141.6990656565663,-141.14999999999998,-0.3333333333333339,1334.3499999999995,-0.033333333333333326
-0.8,0.96,1.68,1.12,0.04,True,100.61856305889705,1606.596361393771,-1.4483502929386365,0.0,6.169904409497384,146.02511122211126,396.5999999999999,0.1999999999999993,-50.35999999999967,0.24
2.64,4.92,-0.6,-0.56,-0.04,True,-103.18300653594815,3389.802614379085,-1.814379084967321,0.0,-6.184313725490192,-423.2647813297808,451.15999999999974,-0.3999999999999986,-52.36000000000058,0.03999999999999998
-4.04,-9.2,9.92,1.52,0.48,True,-1632.7317532992201,-1005.2157285214125,-2.908968489092379,0.0379746835443038,1.7522219229733338,-85.8674488844481,1354.2399999999998,1.3600000000000012,751.9599999999991,0.20000000000000007
4.92,11.2,7.24,0.68,0.32,False,689.4857142857145,4494.811428571427,1.6914285714285713,0.1428571428571429,-26.394285714285715,338.2518316977148,-1893.04,2.3199999999999994,-565.4400000000005,-0.16000000000000003
5.04,8.72,0.6,0.12,0.56,False,2657.24,4813.84,0.7199999999999998,0.24,17.120000000000005,-1734.1334174714166,600.6400000000012,3.6799999999999997,1771.1200000000008,0.08000000000000007
-1.96,-5.56,-0.32,0.32,-0.4,True,-212.76000000000022,-1632.2000000000007,-0.6399999999999997,-0.03999999999999998,-4.1200000000000045,-1099.6354548692043,106.53333333333467,3.3,3076.783333333333,-0.09999999999999998
-0.76,5.24,-4.6,-0.48,0.48,True,-1020.6000000000004,-5256.2800000000025,0.16000000000000014,0.2,-1.1599999999999966,-1623.5136099086099,-4019.4000000000015,0.8500000000000014,-7681.216666666666,-0.04999999999999993
8.96,4.52,-15.92,-0.32,-1.28,True,2589.0256410256407,4102.746863066011,-0.280414620840153,-0.07692307692307693,-45.53464266230223,-1271.824769119769,736.583333333333,0.4500000000000002,-29.98333333333312,-0.050000000000000044
-0.64,-3.48,-2.36,-1.64,-0.36,False,386.916109422491,277.42066869300834,1.8316109422492408,-0.03525835866261398,-26.058358662613983,208.00835013352707,-237.5999999999999,-2.1199999999999983,455.08000000000175,-0.07999999999999996
