CC_diff,assists_diff,baronKills,damageDealtToObjectives,damage_per_death,deaths,dragonKills_diff,goldSpent,kills,totalDamageDealtToChampions,totalHeal,totalMinionsKilled,towerKills_diff,visionScore_diff,win,won?
4.64,-0.56,0.01142857142857143,-2114.9500000000003,-1999.3625958300931,-1.2628571428571433,0.12,-137.59999999999854,1.916666666666666,3483.114285714284,752.5166666666664,15.799999999999997,1.36,6.84,-0.04999999999999988,True
9.04,-2.92,-0.0022641509433962287,2383.333333333332,-1638.1351043401064,-0.3486792452830194,0.12,-169.36830188679232,-1.6333333333333337,1862.9833962264165,2025.416666666666,22.846792452830194,0.04,-2.68,0.0,False
0.0,1.0,0.08042328042328042,187.94999999999982,716.8706042568538,0.5058201058201055,-0.56,1104.339682539683,1.0333333333333332,3911.3947089947087,-43.35000000000127,2.282539682539692,-0.96,-8.72,-0.36666666666666664,False
-0.44,2.96,-0.08851063829787237,2648.5142857142855,-985.9987996130858,1.137872340425532,0.24,2947.3225531914895,-0.02857142857142847,9467.376170212765,-1617.1999999999998,-0.8042553191489361,0.64,-1.52,0.1333333333333333,False
-12.0,-6.36,-0.159039759939985,5009.82857142857,-546.8525118532261,-3.429107276819204,0.44,-3572.612153038259,4.133333333333334,-10028.095273818453,5273.733333333333,16.021755438859714,1.16,0.92,-0.17142857142857132,False
-7.44,-2.08,-0.12280701754385967,7971.3714285714295,1022.0847523111825,-1.4576023391812871,-0.32,-162.0964912280706,2.161904761904762,-4294.766081871345,-418.53333333333376,-9.84210526315789,-0.48,-12.64,0.05714285714285716,False
-6.32,0.2,0.11052631578947367,404.5500000000002,-710.5935582010579,-0.9593984962406017,-0.84,-42.786466165413,0.9166666666666661,-2877.957894736841,-1420.6999999999998,-25.923308270676685,-0.2,-8.92,-0.033333333333333326,True
-4.92,-6.2,0.14285714285714285,83.74999999999909,-857.3496825396833,-3.548571428571428,0.76,-2109.114285714286,4.45,-5496.86285714286,646.5999999999995,16.84571428571428,2.04,0.36,0.32500000000000007,False
15.12,5.68,-0.04365690806368773,-1805.666666666666,-1258.1958627483646,3.2265023112480744,-0.28,1216.5408320493061,2.95,2206.264509501798,72.64999999999964,-7.840267077555218,-0.56,1.4,0.24999999999999994,True
7.72,0.48,0.4,-4697.983333333334,-7.085361952862513,-1.0499999999999998,-0.2,-452.5750000000007,-0.049999999999998934,-553.1749999999993,-2257.566666666667,8.75,1.56,-1.92,-0.03333333333333338,True
-3.4,1.68,-0.14456521739130437,-1598.6000000000022,1142.3848493635987,1.7413043478260866,-0.88,-1324.79347826087,-1.799999999999999,-2193.7684782608685,-2967.866666666665,-22.05326086956522,-2.0,0.96,-0.08333333333333337,False
-5.2,-1.84,-0.0816326530612245,5229.72,-74.57388500388424,-1.9183673469387754,0.76,770.5102040816328,5.3199999999999985,-118.75510204081729,-123.48000000000047,22.285714285714278,0.24,6.0,-0.08000000000000007,True
-2.32,0.04,0.1935483870967742,4639.166666666665,652.9507539682518,0.12903225806451601,0.52,372.0967741935492,0.28333333333333144,-1424.354838709678,3135.266666666667,10.0,0.28,0.64,0.1166666666666667,True
